SÄMIKIELÂ UUCÂMSÄÄNI	SUOMI	SAAMEN_HAK	SUOMEN_HAK		SAAMEN_YHD	SUOMEN_YHD	SAAMEN_TAI	SUOMEN_HA2	SUOMEN_J_L	
tuo'dâraalaaš  -aalaa -alaččist     	tunturinlaki  	tuo'dâr	tunturin		aalaaš	laki	-aalaa -alaččist			
tuo'dâraarnik       	tunturiarnikki  Arnica angustifolia	tuo'dâr	tunturi		aarnik	arnikki			Arnica angustifolia	
tuo'dârárhu  -áárhu     	tunturiarho  Arenaria pseudofrigida	tuo'dâr	tunturi		árhu	arho	-áárhu		Arenaria pseudofrigida	
tuo'dârčiŋŋâ  -čiiŋâ     	lapinalppiruusu  Rhododendron lapponicum	tuo'dâr	lapin		čiŋŋâ	alppiruusu	-čiiŋâ		Rhododendron lapponicum	
tuo'dârcivkkee       	tunturikirvinen  Anthus gustavi	tuo'dâr	tunturi		civkkee	kirvinen			Anthus gustavi	
tuo'dârčiävžui  -čevžuu     	tundravikla  Tryngites subruficollis	tuo'dâr	tundra		čiävžui	vikla	-čevžuu		Tryngites subruficollis	
tuo'dârčokke  -čohe     	tunturinlaki  	tuo'dâr	tunturin		čokke	laki	-čohe			
tuo'dârčokke  -čohe     	tunturinhuippu  	tuo'dâr	tunturin		čokke	huippu	-čohe			
tuo'dârčuá'njá  -čuán'njáá     	tundrahanhi  Anser albifrons	tuo'dâr	tundra		čuá'njá	hanhi	-čuán'njáá		Anser albifrons	
tuo'dârfi'skisrääSi~-rääsi  -rääsi     	tunturiniittyleinikki  Ranunculus acris ssp. pumilus	tuo'dâr	tunturi		fi'skisrääSi~-rääsi	niittyleinikki	-rääsi		Ranunculus acris ssp. pumilus	
tuo'dârhaavvâr  -haavvâr     	tähkäkaura  Trisetum spicatum	tuo'dâr	tähkä		haavvâr	kaura	-haavvâr		Trisetum spicatum	
tuo'dârhilppâ  -hiilpâ     	tunturihilppi  Phippsia algida	tuo'dâr	tunturi		hilppâ	hilppi	-hiilpâ		Phippsia algida	
tuo'dârjolgâdâs       	tunturipaljakka  	tuo'dâr	tunturi		jolgâdâs	paljakka				
tuo'dârkazzooh       	tunturikynsimö  Draba fladnizensis	tuo'dâr	tunturi		kazzooh	kynsimö			Draba fladnizensis	
tuo'dârkeđgiorttâ  -oortâ     	tunturikiviyrtti  Woodsia alpina	tuo'dâr	tunturi		keđgiorttâ	kiviyrtti	-oortâ		Woodsia alpina	
tuo'dârkisákeeppil       	tunturikissankäpälä  Antennaria alpina	tuo'dâr	tunturi		kisákeeppil	kissankäpälä			Antennaria alpina	
tuo'dârkiSákeeppil       	tunturikissankäpälä  Antennaria alpina	tuo'dâr	tunturi		kiSákeeppil	kissankäpälä			Antennaria alpina	
tuo'dârkiäi'kkoo       	tunturikohokki  Silene acaulis	tuo'dâr	tunturi		kiäi'kkoo	kohokki			Silene acaulis	
tuo'dârkuo'vgispuájui ~ -puá'joi  -poijuu     	tunturikalvaspaju  Salix hastata ssp. hastata	tuo'dâr	tunturi		kuo'vgispuájui ~ -puá'joi	kalvaspaju	-poijuu		Salix hastata ssp. hastata	
tuo'dârlaahul       	tundrakurmitsa  Pluvialis squatarola	tuo'dâr	tundra		laahul	kurmitsa			Pluvialis squatarola	
tuo'dârleivosâš  -leivosii     	tunturikiuru  Eremophila alpestris	tuo'dâr	tunturi		leivosâš	kiuru	-leivosii		Eremophila alpestris	
tuo'dârluhtee       	tunturisara  Carex bigelowii	tuo'dâr	tunturi		luhtee	sara			Carex bigelowii	
tuo'dârmittár       	tunturimittari  Epirrita autumnata	tuo'dâr	tunturi		mittár	mittari			Epirrita autumnata	
tuo'dârmiä'hástâh  -miä'hástuv     	tundrakurppelo  Limnodromus scolopaceus	tuo'dâr	tundra		miä'hástâh	kurppelo	-miä'hástuv		Limnodromus scolopaceus	
tuo'dârnartte  -na'rte     	tunturirikko  Saxifraga cotyledon	tuo'dâr	tunturi		nartte	rikko	-na'rte		Saxifraga cotyledon	
tuo'dârnjuám'milsyei'ni  -syeini     	tunturilauha  Deschamsia alpina	tuo'dâr	tunturi		njuám'milsyei'ni	lauha	-syeini		Deschamsia alpina	
tuo'dârnjuolâs  -njuollâs     	tunturihorsma  Epilobium anagallidifolium	tuo'dâr	tunturi		njuolâs	horsma	-njuollâs		Epilobium anagallidifolium	
tuo'dârpáinu  -pááinu     	tunturilieko  Diphasiastrum alpinum	tuo'dâr	tunturi		páinu	lieko	-pááinu		Diphasiastrum alpinum	
tuo'dârpennuučalme  -ča'lme     	tunturikallioinen  Erigeron uniflorus	tuo'dâr	tunturi		pennuučalme	kallioinen	-ča'lme		Erigeron uniflorus	
tuo'dârpiippo  -piipo     	tunturipiippo  Luzula wahlenbergii	tuo'dâr	tunturi		piippo	piippo	-piipo		Luzula wahlenbergii	
tuo'dârpikkârääSi~-rääsi  -rääsi     	pikkutervakko  Lychnis alpina	tuo'dâr	pikku		pikkârääSi~-rääsi	tervakko	-rääsi		Lychnis alpina	
tuo'dârpuál'ččimieđâš  -mieđii     	tunturiängelmä  Thalictrum alpinum	tuo'dâr	tunturi		puál'ččimieđâš	ängelmä	-mieđii		Thalictrum alpinum	
tuo'dârpuál'luluhtee       	tunturinuppisara  Carex arctogena	tuo'dâr	tunturi		puál'luluhtee	nuppisara			Carex arctogena	
tuo'dârpäinee       	tunturitädyke  Veronica alpina	tuo'dâr	tunturi		päinee	tädyke			Veronica alpina	
tuo'dârsávjáduvvâš  -sávjáduvvii     	tundraurpiainen  Carduelis hornemanni	tuo'dâr	tundra		sávjáduvvâš	urpiainen	-sávjáduvvii		Carduelis hornemanni	
tuo'dârsieđ'gâ  -sieđgâ     	tunturipaju  Salix glauca (ssp, glauca)	tuo'dâr	tunturi		sieđ'gâ	paju	-sieđgâ		Salix glauca (ssp, glauca)	
tuo'dârsie'mâtäsni  -tääsni     	tunturiängelmä  Thalictrum alpinum	tuo'dâr	tunturi		sie'mâtäsni	ängelmä	-tääsni		Thalictrum alpinum	
tuo'dârsiNo  -sino     	tunturinata  Festuca richardsonii	tuo'dâr	tunturi		siNo	nata	-sino		Festuca richardsonii	
tuo'dârsuáráág       	tunturihaarikko  Sagina saginoides	tuo'dâr	tunturi		suáráág	haarikko			Sagina saginoides	
tuo'dârsuor'mâkuáti  -kuáđi ~ -kuá'đe     	tunturilitukka  Cardamine bellifolia	tuo'dâr	tunturi		suor'mâkuáti	litukka	-kuáđi ~ -kuá'đe		Cardamine bellifolia	
tuo'dârsyei'ni  -syeini     	tunturinurmikka  Poa alpina	tuo'dâr	tunturi		syei'ni	nurmikka	-syeini		Poa alpina	
tuo'dârsäpligporthâš  -portháá     	tunturihiirenporras  Athyrium distentifolium	tuo'dâr	tunturi		säpligporthâš	hiirenporras	-portháá		Athyrium distentifolium	
tuo'dârtäsni  -tääsni     	uuvana  Diapensia lapponica	tuo'dâr	uuvana		täsni		-tääsni		Diapensia lapponica	
tuo'dâruár'hu  -uárhu     	tunturiorho  Chamorchis alpina	tuo'dâr	tunturi		uár'hu	orho	-uárhu		Chamorchis alpina	
tuo'dârvälli  -vääLi     	tunturihaukka  Falco rusticolus	tuo'dâr	tunturi		välli	haukka	-vääLi		Falco rusticolus	
tuođâš       	tosite  	tuođâš	tosite							
tuođâst       	tosissaan  	tuođâst	tosissaan							
tuo'đâštâs       	todistus  	tuo'đâštâs	todistus							
tuo'đâšteijee       	todistaja  	tuo'đâšteijee	todistaja							
tuo'đâštiđ  tuođâšt     	todistaa  	tuo'đâštiđ	todistaa				tuođâšt			
tuo'đâštijjee       	todistaja  	tuo'đâštijjee	todistaja							
tuo'đâštus       	todistus  	tuo'đâštus	todistus							
tuo'đâštus       	todiste  	tuo'đâštus	todiste							
tuo'đâštuskuáti  -kuáđi ~ -kuá'đe     	ilmestysmaja  	tuo'đâštus	ilmestys		kuáti	maja	-kuáđi ~ -kuá'đe			
tuođee       	tuossa juuri  	tuođee	tuossa 			juuri				
tuog'gáár       	tuollainen  (viitataan etäämmällä olevaan)	tuog'gáár	tuollainen						(viitataan etäämmällä olevaan)	
tuogu       	tuossa kohden  (viitataan etäämmällä olevaan)	tuogu	tuossa 			kohden			(viitataan etäämmällä olevaan)	
tuogu       	tuota kautta  	tuogu	tuota 			kautta				
tuo'hâstiđ  tuohâst     	tuulastaa  	tuo'hâstiđ	tuulastaa				tuohâst			
tuohu       	tuonne  (kauemmas)	tuohu	tuonne						(kauemmas)	
tuohun       	tuonne  (kauemmas)	tuohun	tuonne						(kauemmas)	
tuoi  tunnuu     	te  (kaksikko)	tuoi	te				tunnuu		(kaksikko)	
tuoi'bâđ  tuoibâm tuái'bá     	toipua  	tuoi'bâđ	toipua				tuoibâm tuái'bá			
tuoi'buđ  tuoi'buum tuái'boo     	toipua  	tuoi'buđ	toipua				tuoi'buum tuái'boo			
tuoi'juđ  tuoi'juum tuái'joo     	tehdä käsitöitä  	tuoi'juđ	tehdä 			käsitöitä	tuoi'juum tuái'joo			
tuoi'juđ  tuoi'juum tuái'joo     	tehdä  (jtak konkreettista)	tuoi'juđ	tehdä				tuoi'juum tuái'joo		(jtak konkreettista)	
tuoi'juđ  tuoi'juum tuái'joo     	työskennellä  	tuoi'juđ	työskennellä				tuoi'juum tuái'joo			
tuoivâ  tuoi'vuu     	toive  	tuoivâ	toive				tuoi'vuu			
tuo'ivâlâš  tuo'ivâlii     	toiveikas  	tuo'ivâlâš	toiveikas				tuo'ivâlii			
tuol'bâdâs       	tasanne  	tuol'bâdâs	tasanne							
tuo'lbâdâs       	tasanko  	tuo'lbâdâs	tasanko							
tuol'bâfijlo  -fi'jlo ~ -fiijlo     	lattaviila  	tuol'bâ	latta		fijlo	viila	-fi'jlo ~ -fiijlo			
tuol'bâjolgâdâs       	lakeus  	tuol'bâ	lakeus		jolgâdâs					
tuo'lbâkáttu  -káátu     	tasakatto  	tuo'lbâ	tasa		káttu	katto	-káátu			
tuo'lbâkáttusâš  -káttusii     	tasakattoinen  	tuo'lbâ	tasa		káttusâš	kattoinen	-káttusii			
tuo'lbâluoh'čâm       	lattataltta  	tuo'lbâ	latta		luoh'čâm	taltta				
tuo'lbâluoh'čâm       	tasataltta  	tuo'lbâ	tasa		luoh'čâm	taltta				
tuo'lbâponjos  -ponnjoos     	lattakierre  	tuo'lbâ	latta		ponjos	kierre	-ponnjoos			
tuolbâs  tuol'bâs # tuol'bâ     	tasainen  	tuolbâs	tasainen				tuol'bâs # tuol'bâ			
tuolbâs  tuol'bâs # tuol'bâ     	litteä  	tuolbâs	litteä				tuol'bâs # tuol'bâ			
tuo'lbâstääLi  -stääli     	lattateräs  	tuo'lbâ	latta		stääLi	teräs	-stääli			
tuol'bâsyei'ni  -syeini     	litteänurmikka  Poa compressa	tuol'bâ	litteä		syei'ni	nurmikka	-syeini		Poa compressa	
tuol'bâtooŋâs  -toŋŋâs     	sielikkö  Loiselauria procumbens	tuol'bâ	sielikkö		tooŋâs		-toŋŋâs		Loiselauria procumbens	
tuo'lbâtävgi  -täävgi     	lehtijousi  	tuo'lbâ	lehti		tävgi	jousi	-täävgi			
tuol'bimsaijeemmaašin       	tasohiomakone  	tuol'bim	taso		saijeemmaašin	hiomakone				
tuol'dâđ  tuoldâm tuál'dá     	kiehua  	tuol'dâđ	kiehua				tuoldâm tuál'dá			
tuo'ldâttiđ  tuoldât     	kiehuttaa  	tuo'ldâttiđ	kiehuttaa				tuoldât			
tuo'ldâttiđ  tuo'ldâtâm tuoldât     	hauduttaa  (ruokaa keittämällä)	tuo'ldâttiđ	hauduttaa				tuo'ldâtâm tuoldât		(ruokaa keittämällä)	
tuol'diistiđ  tuo'ldâtâm tuoldât     	kiehahtaa  	tuol'diistiđ	kiehahtaa				tuo'ldâtâm tuoldât			
tuol'diistittiđ  tuoldiistitám     	ryöpätä  	tuol'diistittiđ	ryöpätä				tuoldiistitám			
tuol'diistittiđ  tuoldiistitám     	hauduttaa  (ruokaa keittämällä)	tuol'diistittiđ	hauduttaa				tuoldiistitám		(ruokaa keittämällä)	
tuol'diittiđ  tuol'dit     	kiehauttaa  	tuol'diittiđ	kiehauttaa				tuol'dit			
tuol'luu  # -s     	routainen  (maasta)	tuol'luu	routainen				# -s		(maasta)	
tuol'mâđ  tuolmâm     	polkea  	tuol'mâđ	polkea				tuolmâm			
tuo'lmâdiđ  tuolmâd     	tepastella  	tuo'lmâdiđ	tepastella				tuolmâd			
tuo'lmâdiđ  tuolmâd     	tassutella  	tuo'lmâdiđ	tassutella				tuolmâd			
tuol'mâm       	poljin  	tuol'mâm	poljin							
tuol'mâmmaašin       	polkupyörä  	tuol'mâm	polku		maašin	pyörä				
tuo'lmâstiđ  tuolmâst     	polkaista  	tuo'lmâstiđ	polkaista				tuolmâst			
tuol'vâ  tuolvâ     	töhkä  	tuol'vâ	töhkä				tuolvâ			
tuol'vâ  tuolvâ     	lika  	tuol'vâ	lika				tuolvâ			
tuo'lvâčäcikáivu  -kááivu     	likakaivo  	tuo'lvâ	lika		čäcikáivu	kaivo	-kááivu			
tuol'vâčäcimáksu  -máávsu     	jätevesimaksu  	tuol'vâ	jäte		čäcimáksu	vesimaksu	-máávsu			
tuol'vâčäciputestemruustig       	jätevedenpuhdistamo  	tuol'vâ	jäte		čäciputestemruustig	vedenpuhdistamo				
tuol'vâčääci  -čääsi     	jätevesi  	tuol'vâ	jäte		čääci	vesi	-čääsi			
tuol'vâđ  tuolvâm tuál'vá     	likaantua  	tuol'vâđ	likaantua				tuolvâm tuál'vá			
tuol'vâdiđ  tuol'vâd     	liata  	tuol'vâdiđ	liata				tuol'vâd			
tuol'vâdiđ  tuol'vâd     	sotkea  	tuol'vâdiđ	sotkea				tuol'vâd			
tuol'vânurde  -nu'rde     	sottapytty  	tuol'vâ	sotta		nurde	pytty	-nu'rde			
tuolvâs  tuol'vâs # tuo'lvâs ~ tuol'vâ     	likainen  	tuolvâs	likainen				tuol'vâs # tuo'lvâs ~ tuol'vâ			
tuo'lvâsvuotâ  tuo'lvâsvuođâ     	likaisuus  	tuo'lvâsvuotâ	likaisuus				tuo'lvâsvuođâ			
tuol'vii  # -s     	likainen  	tuol'vii	likainen				# -s			
tuoMâ  tuomâ     	tuomi  Prunus padus	tuoMâ	tuomi				tuomâ		Prunus padus	
tuomâmyer'ji  -myerji     	tuomenmarja  	tuomâ	tuomen		myer'ji	marja	-myerji			
tuomâpiäi'vááloddááš  -loddáá     	tuomenkehrääjäkoi  Yponomeuta evonymella	tuomâ	tuomen		piäi'vááloddááš	kehrääjäkoi	-loddáá		Yponomeuta evonymella	
tuombel       	toiselle puolelle  	tuom	toiselle 		bel	puolelle				
tuom'miđ  tuom'miim tyem'mee     	tuomita  	tuom'miđ	tuomita				tuom'miim tyem'mee			
tuom'miipaSepeivi  -peeivi     	tuomiosunnuntai  	tuom'mii	tuomio		paSepeivi	sunnuntai	-peeivi			
tuom'miittâttâđ  tuom'miittâđâm     	tulla tuomituksi  	tuom'miittâttâđ	tulla 			tuomituksi	tuom'miittâđâm			
tuommuđusâš  -muđusii     	tuollainen  (viitataan etäämmällä olevaan)	tuom	tuollainen		muđusâš		-muđusii		(viitataan etäämmällä olevaan)	
tuo'Nârokke  -rohe     	pahus  	tuo'Nâ	pahus		rokke		-rohe			
tuo'Nârokke  -rohe     	vietävä  	tuo'Nâ	vietävä		rokke		-rohe			
tuonâš  tuonii     	lempo  	tuonâš	lempo				tuonii			
tuonâš  tuonii     	pahus  	tuonâš	pahus				tuonii			
tuopâ       	huopa  	tuopâ	huopa							
tuo'pâhattâ  -haatâ     	huopahattu  	tuo'pâ	huopa		hattâ	hattu	-haatâ			
tuo'pâkaamuv  -kammuu     	huopatossu  	tuo'pâ	huopa		kaamuv	tossu	-kammuu			
tuo'pâluđ  tuo'pâluVá     	kutistua  (huopumisen takia)	tuo'pâluđ	kutistua				tuo'pâluVá		(huopumisen takia)	
tuo'pâluđ  tuo'pâluVá     	huopua  	tuo'pâluđ	huopua				tuo'pâluVá			
tuo'pânâššâđ  tuo'pân(j)âšâm     	vanuttua  	tuo'pânâššâđ	vanuttua				tuo'pân(j)âšâm			
tuo'pânâššâđ  tuo'pân(j)âšâm     	huopua  	tuo'pânâššâđ	huopua				tuo'pân(j)âšâm			
tuo'pânjâššâđ  tuo'pân(j)âšâm     	vanuttua  	tuo'pânjâššâđ	vanuttua				tuo'pân(j)âšâm			
tuo'pânjâššâđ  tuo'pân(j)âšâm     	huopua  	tuo'pânjâššâđ	huopua				tuo'pân(j)âšâm			
tuo'pâpennâ  -peeNâ     	huopakynä  	tuo'pâ	huopa		pennâ	kynä	-peeNâ			
tuoppâđ  tuovâm     	lappaa  	tuoppâđ	lappaa				tuovâm			
tuoppâđ  tuovâm     	vetää  (esim. köyttä veneeseen)	tuoppâđ	vetää				tuovâm		(esim. köyttä veneeseen)	
tuop'piđ  tuop'piim tyep'pee     	muovailla  	tuop'piđ	muovailla				tuop'piim tyep'pee			
tuop'piđ  tuop'piim tyep'pee     	vanuttaa  	tuop'piđ	vanuttaa				tuop'piim tyep'pee			
tuop'piđ  tuop'piim tyep'pee     	huovuttaa  	tuop'piđ	huovuttaa				tuop'piim tyep'pee			
tuop'pim       	huovutus  	tuop'pim	huovutus							
tuop'pimkässi  -kääSi     	muovailuvaha  	tuop'pim	muovailu		kässi	vaha	-kääSi			
tuo'râldâh  tuo'râlduv     	ommeltu laskos  (vaatteessa)	tuo'râldâh	ommeltu 			laskos	tuo'râlduv		(vaatteessa)	
tuo'Râsiđ  tuorrâs     	laskostua  (vaatteesta)	tuo'Râsiđ	laskostua				tuorrâs		(vaatteesta)	
tuo'râstâh  tuo'râstuv     	torstai  	tuo'râstâh	torstai				tuo'râstuv			
tuor'gâ  tuorgâ     	risu  (lattian kattamiseen kodassa)	tuor'gâ	risu				tuorgâ		(lattian kattamiseen kodassa)	
tuor'gâ  tuorgâ     	varpu  (lattian kattamiseen kodassa)	tuor'gâ	varpu				tuorgâ		(lattian kattamiseen kodassa)	
tuor'giđ  tuor'giim tyer'gee     	kattaa risuilla  (asumuksen lattia)	tuor'giđ	kattaa 			risuilla	tuor'giim tyer'gee		(asumuksen lattia)	
tuorrâđ  tuorâm tuáRá     	kuroa  	tuorrâđ	kuroa				tuorâm tuáRá			
tuorrâđ  tuorâm tuáRá     	laskostaa  (ompelemalla)	tuorrâđ	laskostaa				tuorâm tuáRá		(ompelemalla)	
tuorrâđ  tuorâm tuáRá     	niitata  	tuorrâđ	niitata				tuorâm tuáRá			
tuorrâđ  tuorâm tuáRá     	taivuttaa  (ei kieliopill., vaan esim. naulaa)	tuorrâđ	taivuttaa				tuorâm tuáRá		(ei kieliopill., vaan esim. naulaa)	
tuorrâmnävli  -näävli     	niitti  	tuorrâm	niitti		nävli		-näävli			
tuor'ruđ  tuár'roo     	mennä  laskokselle (saumasta ommeltaessa)	tuor'ruđ	mennä				tuár'roo		laskokselle (saumasta ommeltaessa)	
tuosâs  tuossâs     	soihtu  	tuosâs	soihtu				tuossâs			
tuossâđ  tuosâm     	valaista  	tuossâđ	valaista				tuosâm			
tuos'tâđ  tuostâm tuás'tá     	rohjeta  	tuos'tâđ	rohjeta				tuostâm tuás'tá			
tuos'tâđ  tuostâm tuás'tá     	uskaltaa  	tuos'tâđ	uskaltaa				tuostâm tuás'tá			
tuot  tuon     	tuo  	tuot	tuo				tuon			
tuotâ  tuođâ     	tosi  	tuotâ	tosi				tuođâ			
tuotâ  tuođâ     	erittäin  	tuotâ	erittäin				tuođâ			
tuo'tâ äšši  ääši     	fakta  	tuo'tâ 	fakta		äšši		ääši			
tuo'tâvuotâ  tuo'tâvuođâ     	totuus  	tuo'tâvuotâ	totuus				tuo'tâvuođâ			
tuot'kâ  tuođhâ     	tutka  (kalan sisälmys t. suolen rapa)	tuot'kâ	tutka				tuođhâ		(kalan sisälmys t. suolen rapa)	
tuot'kâ  tuođhâ     	totko  (kalan sisälmys t. suolen rapa)	tuot'kâ	totko				tuođhâ		(kalan sisälmys t. suolen rapa)	
tuov'ŋâđ  tuovŋâm tuáv'ŋá     	paikata  	tuov'ŋâđ	paikata				tuovŋâm tuáv'ŋá			
tuovŋâs  tuov'ŋâs     	paikka  	tuovŋâs	paikka				tuov'ŋâs			
tuo'vŋâštiđ  tuovŋâšt     	iskeä  (lyödä)	tuo'vŋâštiđ	iskeä				tuovŋâšt		(lyödä)	
tuo'vŋâttiđ  tuovŋât     	paikkuuttaa  (esim. vaate)	tuo'vŋâttiđ	paikkuuttaa				tuovŋât		(esim. vaate)	
tupe  tuve     	tupa  	tupe	tupa				tuve			
tupekálvu  -káálvu     	huonekalu  	tupe	huone		kálvu	kalu	-káálvu			
tupekiärpáš  -kiär'ppáá     	huonekärpänen  Musca domestica	tupe	huone		kiärpáš	kärpänen	-kiär'ppáá		Musca domestica	
tupekiärpâš  -kiär'ppáá     	huonekärpänen  Musca domestica	tupe	huone		kiärpâš	kärpänen	-kiär'ppáá		Musca domestica	
tupekovjâ  -koovjâ     	huonepöly  	tupe	huone		kovjâ	pöly	-koovjâ			
tupenjälmi  -njäälmi     	ovensuu  (erit. tuvassa)	tupe	oven		njälmi	suu	-njäälmi		(erit. tuvassa)	
tupenjälmi  -njäälmi     	tuvanedusta  	tupe	tuvan		njälmi	edusta	-njäälmi			
tupepiäl'lást       	tuvan vieressä  	tupe	tuvan 		piäl'lást	vieressä				
tupepiäl'lást       	tuvan nurkalla  	tupe	tuvan 		piäl'lást	nurkalla				
tupeuksâ  -uuvsâ     	tuvanovi  (oviaukko)	tupe	tuvan		uksâ	ovi	-uuvsâ		(oviaukko)	
tuppâ  tuupâ     	tuppi  	tuppâ	tuppi				tuupâ			
tuppâčuár'vi  -čuárvi     	tuppisarvi  (lyhyet, pystyt ja suorat sarvet)	tuppâ	tuppi		čuár'vi	sarvi	-čuárvi		(lyhyet, pystyt ja suorat sarvet)	
tuppáđ  tuppáám     	leikata hiuksia  	tuppáđ	leikata 			hiuksia	tuppáám			
tuppáđ  tuppáám     	parturoida  	tuppáđ	parturoida				tuppáám			
tuppájeijee       	parturi  	tuppájeijee	parturi							
tuppâluhtee       	tuppisara  Carex vaginata	tuppâ	tuppi		luhtee	sara			Carex vaginata	
tuppâniđ       	paakkuuntua suksen pohjaan  (lumesta)	tuppâniđ	paakkuuntua 			suksen pohjaan			(lumesta)	
turáidittiđ  turáiditám     	päristää  	turáidittiđ	päristää				turáiditám			
turâstâh  turâstuv     	torstai  	turâstâh	torstai				turâstuv			
turâštiđ  tuurâšt     	huristaa  (äänestä ja ajelemalla)	turâštiđ	huristaa				tuurâšt		(äänestä ja ajelemalla)	
turâštiđ  tuurâšt     	viilettää  	turâštiđ	viilettää				tuurâšt			
turáttiđ  tuuráát     	upota  (esim. suohon, veteen)	turáttiđ	upota				tuuráát		(esim. suohon, veteen)	
turbe  tu'rbe     	kuono  	turbe	kuono				tu'rbe			
turbe  tu'rbe     	pärstä  (loukkaava ilmaus)	turbe	pärstä				tu'rbe		(loukkaava ilmaus)	
turbe  tu'rbe     	turpa  	turbe	turpa				tu'rbe			
turbeskuáp'pu  -skuápu     	kuonokoppa  	turbe	kuono		skuáp'pu	koppa	-skuápu			
turbesoksâmeh       	viikset  (eläimellä)	turbe	viikset		soksâmeh				(eläimellä)	
turbiin       	turbiini  	turbiin	turbiini							
turbođ  tu'rbom     	turvota  	turbođ	turvota				tu'rbom			
turbulens       	turbulenssi  	turbulens	turbulenssi							
turdáá  # -s     	tahmea  	turdáá	tahmea				# -s			
turde  tu'rde     	sotku  	turde	sotku				tu'rde			
tu'rdediđ  turdeed     	liata  	tu'rdediđ	liata				turdeed			
tu'rdediđ  turdeed     	sotata  	tu'rdediđ	sotata				turdeed			
turdeturbe  -tu'rbe     	törkyturpa  	turde	törky		turbe	turpa	-tu'rbe			
turdođ  tu'rdom     	sottaantua  	turdođ	sottaantua				tu'rdom			
turdođ  tu'rdom     	tahriintua  	turdođ	tahriintua				tu'rdom			
turdodiđ  turdod     	liata  	turdodiđ	liata				turdod			
turdodiđ  turdod     	sotata  	turdodiđ	sotata				turdod			
tuRe  ture     	sotku  	tuRe	sotku				ture			
tuRedâttâđ  tuRedâđâm     	sotkea itsensä  	tuRedâttâđ	sotkea 			itsensä	tuRedâđâm			
turediđ  tuureed     	sotata  	turediđ	sotata				tuureed			
turediđ  tuureed     	liata  	turediđ	liata				tuureed			
turgáá  # -s     	epäsiisti  	turgáá	epä			siisti	# -s			
turgáá  # -s     	sotkuinen  	turgáá	sotkuinen				# -s			
turgáávuotâ  turgáávuođâ     	epäsiisteys  	turgáávuotâ	epä			siisteys	turgáávuođâ			
turgáávuotâ  turgáávuođâ     	sottaisuus  	turgáávuotâ	sottaisuus				turgáávuođâ			
turgâliđ       	sujauttaa  	turgâliđ	sujauttaa							
turge  tu'rge     	sotku  	turge	sotku				tu'rge			
turgediđ  turged     	sotata  	turgediđ	sotata				turged			
turgediđ  turged     	sotkea  	turgediđ	sotkea				turged			
turgi  tuurgi     	sottapytty  	turgi	sotta			pytty	tuurgi			
turijdiđ  tuurijd     	hurista  	turijdiđ	hurista				tuurijd			
turkkâ  tuurhâ     	turkispaita  	turkkâ	turkis			paita	tuurhâ			
turkkâ  tuurhâ     	turkki  	turkkâ	turkki				tuurhâ			
turkkâliđ  turkkâl     	sujauttaa  	turkkâliđ	sujauttaa				turkkâl			
turkkár       	turkkuri  	turkkár	turkkuri							
turkkilâš  turkkilii     	turkkilo  Nicrophorus	turkkilâš	turkkilo				turkkilii		Nicrophorus	
turmaliin       	turmaliini  	turmaliin	turmaliini							
turmuđ  turmojeh     	ahavoitua  (halkeillen esim. huulista)	turmuđ	ahavoitua				turmojeh		(halkeillen esim. huulista)	
turmuđ  turmojeh     	halkeilla  (esim. huulista)	turmuđ	halkeilla				turmojeh		(esim. huulista)	
turnâ  tuurnâ     	tyrni  Hippophaë rhamnoides	turnâ	tyrni				tuurnâ		Hippophaë rhamnoides	
turnuu  # -s     	taitamaton  	turnuu	taitamaton				# -s			
turnuu  # -s     	tunari  	turnuu	tunari				# -s			
tu'rpâgiđ  tuurpâg     	alkaa murjottaa  	tu'rpâgiđ	alkaa 			murjottaa	tuurpâg			
turppáđ  turppáá     	murjottaa  	turppáđ	murjottaa				turppáá			
turppáđ  turppáá     	mököttää  	turppáđ	mököttää				turppáá			
turráá  # -s     	likainen  	turráá	likainen				# -s			
turráá  # -s     	sotkuinen  	turráá	sotkuinen				# -s			
turrâgiđ  turrâg     	likaantua  	turrâgiđ	likaantua				turrâg			
turrâgiđ  turrâg     	sotkeentua  	turrâgiđ	sotkeentua				turrâg			
turrân       	hurina  	turrân	hurina							
turrâšuđ       	hieraantua  	turrâšuđ	hieraantua							
turrâšuđ       	likaantua  	turrâšuđ	likaantua							
turrâšuđ       	sotkeentua  (jhk)	turrâšuđ	sotkeentua						(jhk)	
turšâđ  turšá     	jäätää rantakivet ja -pensaat syysmyrskyssä  	turšâđ	jäätää 			rantakivet ja -pensaat syysmyrskyssä	turšá			
turššâđ  turššá     	jäätää rantakivet ja -pensaat syysmyrskyssä  	turššâđ	jäätää 			rantakivet ja -pensaat syysmyrskyssä	turššá			
turturtuvvá  -tuVá     	turturikyyhky  Streptopelia turtur	turtur	turturi		tuvvá	kyyhky	-tuVá		Streptopelia turtur	
tu'rvâstiđ  tuurvâst     	turvata  	tu'rvâstiđ	turvata				tuurvâst			
tu'rvâstiđ  tuurvâst     	turvautua  	tu'rvâstiđ	turvautua				tuurvâst			
tur'viđ  tur'viim     	turvata  	tur'viđ	turvata				tur'viim			
tuš       	ainoastaan  	tuš	ainoastaan							
tuš       	vain  	tuš	vain							
tušás       	turhaan  	tušás	turhaan							
